fecha,hora,timestamp_unix,camara_id,lugar,total_personas,ids_detectados,frame_numero,fps_video
2026-05-01,18:03:20,1777676600.523,CAM-02,Entrada,8,"4,5,6,8,7,65,66,57",61,13.09
2026-05-01,18:03:21,1777676601.504,CAM-01,Pasillo,15,"14,15,21,30,62,36,11,74,75,78,29,80,12,68,72",68,30.00
2026-05-01,18:03:21,1777676601.514,CAM-03,Caja,5,"1,3,43,81,79",77,12.00
2026-05-01,18:03:21,1777676601.561,CAM-02,Entrada,6,"4,5,6,66,57,7",76,13.09
2026-05-01,18:03:22,1777676602.532,CAM-03,Caja,4,"1,81,43,87",93,12.00
2026-05-01,18:03:22,1777676602.564,CAM-01,Pasillo,10,"14,15,21,30,62,12,29,68,88,78",83,30.00
2026-05-01,18:03:22,1777676602.604,CAM-02,Entrada,7,"4,6,66,57,7,5,58",92,13.09
2026-05-01,18:03:23,1777676603.549,CAM-03,Caja,3,"1,3,87",109,12.00
2026-05-01,18:03:23,1777676603.610,CAM-01,Pasillo,10,"15,21,30,62,12,29,88,78,96,68",98,30.00
2026-05-01,18:03:23,1777676603.628,CAM-02,Entrada,8,"4,6,66,57,5,94,97,86",108,13.09
2026-05-01,18:03:24,1777676604.562,CAM-03,Caja,3,"1,101,110",125,12.00
2026-05-01,18:03:24,1777676604.665,CAM-02,Entrada,8,"4,6,66,57,5,94,86,106",124,13.09
2026-05-01,18:03:24,1777676604.668,CAM-01,Pasillo,11,"15,21,30,62,29,88,107,78,68,117,114",113,30.00
2026-05-01,18:03:25,1777676605.569,CAM-03,Caja,3,"1,87,125",141,12.00
2026-05-01,18:03:25,1777676605.703,CAM-02,Entrada,9,"4,66,57,94,86,106,5,6,120",140,13.09
2026-05-01,18:03:25,1777676605.733,CAM-01,Pasillo,10,"15,29,88,107,78,114,21,30,96,62",128,30.00
2026-05-01,18:03:26,1777676606.583,CAM-03,Caja,2,"1,87",157,12.00
2026-05-01,18:03:26,1777676606.731,CAM-02,Entrada,6,"4,66,57,106,5,6",156,13.09
2026-05-01,18:03:26,1777676606.788,CAM-01,Pasillo,10,"29,88,107,78,114,30,102,15,130,124",143,30.00
2026-05-01,18:03:27,1777676607.614,CAM-03,Caja,1,1,173,12.00
2026-05-01,18:03:27,1777676607.766,CAM-02,Entrada,6,"4,66,57,106,5,6",172,13.09
2026-05-01,18:03:27,1777676607.812,CAM-01,Pasillo,13,"29,88,107,78,114,15,139,124,146,102,145,21,68",157,30.00
2026-05-01,18:03:28,1777676608.616,CAM-03,Caja,2,"1,158",189,12.00
2026-05-01,18:03:28,1777676608.791,CAM-02,Entrada,9,"4,66,57,106,5,155,156,157,6",188,13.09
2026-05-01,18:03:28,1777676608.866,CAM-01,Pasillo,11,"29,88,15,124,146,145,154,30,139,114,107",172,30.00
2026-05-01,18:03:29,1777676609.672,CAM-03,Caja,1,1,206,12.00
2026-05-01,18:03:29,1777676609.811,CAM-02,Entrada,8,"4,66,106,5,156,6,57,157",204,13.09
2026-05-01,18:03:29,1777676609.904,CAM-01,Pasillo,13,"29,88,146,145,30,139,107,164,114,15,154,162,160",187,30.00
2026-05-01,18:03:30,1777676610.728,CAM-03,Caja,1,1,223,12.00
2026-05-01,18:03:37,1777676617.491,CAM-03,Caja,3,"1,2,3",1,12.00
2026-05-01,18:03:38,1777676618.549,CAM-03,Caja,6,"1,2,4,5,6,7",11,12.00
2026-05-01,18:03:38,1777676618.764,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",1,13.09
2026-05-01,18:03:39,1777676618.834,CAM-01,Pasillo,16,"12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27",1,30.00
2026-05-01,18:03:39,1777676619.565,CAM-03,Caja,2,"1,4",19,12.00
2026-05-01,18:03:40,1777676619.889,CAM-01,Pasillo,11,"12,13,14,15,16,17,18,19,20,22,24",7,30.00
2026-05-01,18:03:40,1777676619.899,CAM-02,Entrada,11,"1,2,3,4,5,6,7,8,9,10,11",8,13.09
2026-05-01,18:03:40,1777676620.703,CAM-03,Caja,4,"1,4,3,30",26,12.00
